Name,Continent,Area (km²),Population,Unemployment Rate,Taxes (% of GDP),External Debt (USD),Exchange Rate (USD),Internet Users,Internet Users Percentage of Population,Airports,Roadways (km),Militar Expenditures (% of GDP),GDP (USD),Type of Income
Comoros,Africa,3.3492775274679554,5.936682099485214,2.5495097567963922,2.5495097567963922,5.692099788303083,21.40560674215987,4.842827579929976,2.9120439557122073,0.6020599913279624,29.664793948382652,0.146128035678238,3.48572142648158,lower-income
"Congo, Democratic Republic of the",Africa,6.3701165478256465,8.021373921835623,3.391164991562634,3.391164991562634,4.254409477236529,1.0,6.91547143776767,2.9359836511806394,2.296665190261531,390.3498430895035,-0.1549019599857432,3.040602340114073,lower-income
"Congo, Republic of the",Africa,5.534026106056135,6.733792025737698,6.0,6.0,11.436782764396638,24.079036525575518,5.641340231982817,2.9410882339705484,1.4313637641589874,152.7219696049,0.43136376415898736,3.5650209283452936,lower-income
Cook Islands,Oceania,2.3729120029701067,3.9204885646582976,3.6193922141707713,3.6193922141707713,5.128352561983234,1.1899579824514812,3.6885088076565213,7.3484692283495345,1.0413926851582251,17.175564037317667,0.1903316981702915,4.222716471147583,average-income
Costa Rica,Central America and the Caribbean,4.708420900134713,6.711903353491764,2.8460498941515415,2.8460498941515415,6.992853494818835,23.947860029656095,6.567611386791397,8.607554821202129,2.2068258760318495,70.95773389842716,-0.1549019599857432,4.293185706706598,average-income
Cote d'Ivoire,Africa,5.508479890079248,7.448527851575095,3.0659419433511785,3.0659419433511785,6.855654600401044,24.378269011560274,7.089735738877039,6.842514157822401,1.4313637641589874,286.34943687739286,0.04139268515822508,3.717087724927019,average-income
Croatia,Europe,4.752770390463606,6.624176139815824,2.8407745422683583,2.8407745422683583,8.820430828479978,2.4994799459087482,6.491951373438647,8.525843066817497,1.8388490907372552,164.18891558202094,0.26245108973042947,4.456396402310686,high-income
Cuba,Central America and the Caribbean,5.044774874256443,7.042667755768556,1.61245154965971,1.61245154965971,6.906518659932803,1.0,6.80298022254382,7.559761901012491,2.123851640967086,244.94897427831782,0.4623979978989561,4.089905111439398,average-income
Curacao,Central America and the Caribbean,2.6473829701146196,5.181514885522454,3.605551275463989,3.605551275463989,5.761944116355173,1.3379088160259651,5.010126034380024,8.254089895318563,0.0,23.45207879911715,0.021189299069938092,4.3887936723235015,average-income
Cyprus,Middle East,3.966188680956137,6.107720643888028,2.658947160061666,2.658947160061666,9.874208829065749,0.9097856890498992,6.0188972177940006,9.188579868510693,1.1760912590556813,141.0709041581573,0.2041199826559248,4.597091579877127,high-income
Czechia,Europe,4.896895321132537,7.029489132052554,1.6733200530681511,1.6733200530681511,5.890670590009257,4.6654431729472385,6.935645794752565,8.98276126811795,2.1072099696478683,236.1016730139793,0.12710479836480765,4.6113196194600805,high-income
Denmark,Europe,4.634416807323513,6.770460749586879,1.746424919657298,1.746424919657298,5.941380311005179,2.482025382626052,6.753766695225034,9.8812954616285,1.9030899869919435,273.05310838736114,0.1553360374650618,4.761957892362059,high-income
Djibouti,Africa,4.365487984890899,5.972394015506832,6.324555320336759,6.324555320336759,5.639148871948674,13.330416347586446,5.692160138398816,7.461903242471052,1.1139433523068367,53.786615435440815,0.6901960800285137,3.7431176252147416,average-income
Dominica,Central America and the Caribbean,2.8756399370041685,4.872645671212787,4.795831523312719,4.795831523312719,9.093954035511725,1.6431676725154984,4.7121275611722595,8.34386001800126,0.3010299956639812,38.88444419044716,0.021189299069938092,4.076166939344932,average-income
Dominican Republic,Central America and the Caribbean,4.687261346243506,7.025197196107476,2.258317958127243,2.258317958127243,6.099180272790763,6.8862181202747275,6.886802459263994,8.649855490122363,1.5563025007672873,140.3744991086344,-0.1549019599857432,4.265124553159181,average-income
Ecuador,South America,5.452646499256084,7.232822332439064,2.3895606290697042,2.3895606290697042,6.7379522111692065,5.0,6.97537169247761,7.567694497005016,2.635483746814912,207.88458336298052,0.36172783601759284,4.05595140532915,average-income
Egypt,Africa,6.00062927088754,8.02709360851365,2.8035691537752374,2.8035691537752374,10.14889156509222,3.9610604640676716,7.668802564912224,6.849817515817484,1.919078092376074,255.04901489713697,0.07918124604762482,4.070518097019869,average-income
